Symbol,Q3 2019 Market Value,Q4 2019 Market Value,Q3 2020 Market Value,Q2 2020 Market Value,Q3 2020 Market Value
CE,15132.20737,14882.00728,8774.948806,10207.88254,12710.33156
CNC,17892.55208,26015.35345,34862.43988,36803.67646,33800.45953
CNP,15156.9694,13696.13969,7765.903647,10169.40797,10542.24727
CERN,21704.91509,23051.57753,19164.43697,20863.09762,22076.03334
CF,10741.63131,10380.20437,5815.278068,6016.255525,6568.25288
SCHW,54679.4717,61094.57803,43242.57861,43436.3518,46687.49348
CHTR,88515.18236,101855.1395,90079.49316,104506.7744,124790.0391
CVX,225152.3682,227868.9825,136175.8842,166590.5428,134447.2822
CMG,23300.34864,23267.47211,18171.37965,29351.09815,34783.61338
CB,73576.11853,70545.42433,50473.60445,57150.85095,52412.61022
CHD,18591.50199,17261.57527,15773.90382,19007.50766,23275.43694
CI,57317.26891,76361.75893,65896.78526,69103.61063,62207.45881
CINF,19056.41065,17178.7756,12241.46037,10388.61035,12541.74762
CTAS,26605.70975,27674.54058,25800.23946,34490.01102,
CSCO,201624.3599,195016.8437,179728.494,198870.1304,
C,150815.4566,174415.3747,88376.51905,106380.391,89749.201
CFG,15813.44964,17589.04788,8040.041169,10767.8647,10790.22918
CTXS,12634.65991,14441.38141,17319.79819,18259.58429,17011.59013
CLX,19054.67311,19269.72952,21673.57474,27443.18605,26476.59333
CME,75679.16419,71930.21884,61984.08875,58284.43187,60001.33853
CMS,18148.17805,17836.63198,16697.22046,16721.05752,17580.49779
KO,232786.8961,237146.582,189983.0321,191895.7581,212065.8171
CTSH,33283.8214,33960.04227,25495.16317,30715.75987,37417.37901
CL,63072.02153,58998.90626,56900.18487,62749.27552,66148.42732
CMCSA,204462.1973,204155.0882,156208.6237,177542.7064,210883.4079
CMA,9509.159095,10343.05,4117.69281,5297.222382,5318.254646
CAG,14049.70115,12993.0658,16945.3741,18738.0982,
CXO,13653.26405,17604.08202,8428.894681,10130.41054,8678.727473
COP,62522.3687,70548.99126,33298.87476,45063.30104,35223.07694
ED,31377.66544,30074.94184,26034.44952,24031.95842,26023.8351
STZ,35503.64608,32790.20989,33012.90356,35292.38815,
COO,14426.03438,17055.54129,15289.84014,15089.53125,
CPRT,19193.15121,23584.78209,18722.10784,21893.00438,
GLW,22270.29947,22388.79214,15664.2154,19708.55286,24662.3245
CTVA,20969.00415,22122.73319,17608.15097,20048.83285,21566.27162
COST,131813.568,124195.8494,136214.179,153500.1354,
CCI,57794.10094,59101.41943,60178.12017,69743.31933,71761.5
CSX,54192.45004,56269.81553,44161.73963,53383.58893,59421.63026
CMI,24921.62901,27417.38793,20043.91887,25560.36998,31183.16373
CVS,82022.34213,96648.61595,77375.81722,84921.69219,76428.28588
DHI,19493.20742,19455.88804,12456.37646,20158.17191,27506.8248
DHR,103609.4522,106745.337,96457.24221,124933.904,152757.0011
DRI,14520.98087,11847.22521,9982.518615,11274.08642,
DVA,7641.036913,9441.988862,9553.135577,9639.252167,10449.30019
DE,54831.98156,49922.25542,45493.71573,55160.10113,
DAL,37252.38769,37821.52209,18261.88209,17889.93478,19505.65938
XRAY,11951.22118,12586.40838,8504.785351,9652.684678,9554.846758
DVN,9311.219793,9975.076895,2645.985459,4343.220058,3619.457565
