Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
MKTX,92.031,97.991,96.301,94.701,93.708
MAR,11778,11952,13216,12769,11959
VAC,4101,4238,4704,4567,4431
MMC,14866,14224,15872,15435,14985
MRTN,1.177,1.178,0.622,0.572,0.521
MLM,3420.839,3260.2,3745.9,3226.6,3099.4
MAS,3185,2973,2933,2929,2935
MASI,21.131,20.487,27.323,27.16,28.557
MTZ,1559.073,1668.573,1642.707,1454.115,1503.47
MA,8219,9289,12466,12498,12574
MTDR,1617.922,1675.362,1662.311,1745.207,1842.002
MTRN,47.463,45.45,51.029,213.5,206.021
MTRX,36.024,48.191,40.187,36.773,34.788
MATX,1137.4,1223,1187.6,1124,1060.1
MAT,3433.976,3191.669,3339.802,3578.48,3589.828
MATW,940.697,1044.39,1046.223,935.514,907.773
MXIM,1056.067,1054.115,1051.997,1052.781,1051.159
MMS,9.658,214.254,347.502,330.275,213.654
MXL,229.47,221.054,219.977,219.091,395.873
MKC,4324.2,4573.8,4417.5,4294,
MCD,45435.2,47556,52311.5,51922.3,51286.4
MCK,10318,11995,9401,9433,9644
MDU,2505.494,2358.513,2569.79,2473.163,2466.2
MPW,6173.806,7101.964,7684.293,7795.89,8190.669
MED,12.373,13.601,12.808,12.014,12.098
MD,2028.075,1820.747,2187.244,1817.136,1803.618
MEDP,56.271,56.189,63.951,128.934,125.767
MDT,26637,26596,25742,28690,
MERC,1021.996,1135.421,1183.427,1162.749,1173.855
MRK,27108,27350,27998,30874,28741
MCY,424.472,434.587,420.471,418.969,416.99
MRCY,53.063,62.558,273.833,73.931,68.274
MDP,2931.3,2879,2853.5,3491,3481.4
VIVO,75.824,81.637,54.285,105.538,75.291
MMSI,523.664,523.748,528.949,495.086,439.701
MTH,1343.002,1053.212,1550.934,1048.619,1049.54
MTOR,943,1157,1418,1302,1301
MLAB,138.809,141.369,142.635,142.619,143.89
CASH,1507.876,434.796,956.988,237.74,125.513
MEI,304.4,284.9,378,373.7,
MET,16734,16851,17959,17967,18966
MTD,1261.76,1379.739,1569.418,1200.175,1224.247
MTG,832.45,832.739,833.027,833.315,1242.652
MGM,15531.933,15609.504,20405.67,19991.174,20061.281
MGPI,47.001,47.571,98.613,68.224,57.734
MCHP,9954.9,9734.4,9621.4,9366.5,9217.7
MU,6161,5973,7226,7176,
MSFT,85974,87147,84025,82110,83216
MSTR,114.603,113.026,109.8,108.3,105.7
MAA,4522.727,4501.848,4527.774,4518.449,4471.616
MTX,1004.6,982.8,927.6,897.2,1013.2
MKSI,953.942,949.157,964.5,1008.9,1017.8
MHK,3102.045,2909.91,3077.009,3056.449,2955.572
MOH,1487,1486,1851,2041,2039
TAP,9417.5,9203.8,9633.9,8842.4,8523.4
MCRI,171.636,211.003,210.932,221.864,196.853
MDLZ,20204,19007,20223,20183,20598
MPWR,2.508,2.357,2.226,3.429,3.094
MNRO,664.404,734.074,1098.165,921.619,839.939
MNST,21.695,28.463,28.114,21.111,21.731
MCO,5822.5,6155,7340,6874,6893
MOG.A,833.233,1047.317,1169.44,1064.305,1019.794
MS,277183,274809,265361,280467,266601
MPAA,228.574,227.585,248.633,222.741,202.121
MSI,6346,5748,6502,6136,5898
MOV,146.261,149.157,176.034,138.483,
COOP,14081,13346,12837,12766,11689
MSA,422.594,400.188,411.449,373.326,385.333
MSM,465.476,737.599,1035.767,675.46,
MSCI,2762.55,3258.214,3353.432,3542.659,3540.086
MTSC,512.617,561.875,623.168,616.152,#N/A
MLI,468.013,413.892,494.996,347.289,372.44
MUR,3353.505,3416.991,3782.52,3757.434,3773.742
MUSA,1106.7,1163.4,1168.9,1170.3,1162.8
MYE,83.697,83.307,82.856,82.4,82.627
MYRG,203.119,190.386,186.599,107.513,93.499
MYGN,300.6,296.6,294,294.8,291.7
NBR,3555.107,3380.095,3399.889,3286.588,3299.773
NDAQ,3865,3779,4476,3922,3987
NBHC,397.53,294.126,365.209,39.504,23.904
FIZZ,49.545,47.485,49.139,46.016,
NFG,2206.975,2292.871,2397.211,2658.257,2694.961
NATI,47.15,54.081,50.371,136.758,141.733
NOV,3270,2777,2763,2781,2554
NPK,3.65,3.521,3.407,3.466,3.373
NNN,2863.923,2998.161,3218.458,3219.276,3235.526
NSA,1558.713,1558.712,1756.912,1766.639,1766.632
NTUS,89.855,73.576,116.652,102.518,80.398
NAVI,91773,90198,89749,87570,86215
NBTB,665.471,858.005,714.283,505.006,446.737
NCR,4122,4044,4853,5152,4948
NP,219.6,215.7,294.8,403.5,217.3
NKTR,476.129,450.915,481.239,225.056,220.748
NEOG,2.041,1.792,1.054913,1.769,
NEO,136.406,132.875,153.389,219.933,219.363
NTAP,1794,1988,1812,2922,
NFLX,13539.365,16372.494,16265.501,17708.159,18137.133
NTGR,36.943,34.791,32.949,36.645,36.244
NTCT,528.645,528.905,530.995,530.381,527.998
NJR,1584.046,2036.769,2166.198,2344.159,2513.806
NYCB,13926.97,14843.584,15214.68,15646.394,15954.802
NYMT,17768.528,21110.88,2690.309,2385.575,2298.83
NWL,7012.9,6397.5,6643,6813,6507
NEU,711.673,717.907,797.156,745.826,666.976
NEM,7565,6909,6872,6803,6787
NWSA,2840,2727,2520,2536,2543
NWS,2840,2727,2520,2536,2543
NXRT,1133.981,1361.872,1369.358,1369.841,1331.113
NEE,41787,43081,47206,46544,48296
NXGN,51.569,86.62,178.442,225.804,111.441
EGOV,12.058,11.149,10.249,11.358,11.728
NLSN,8990,8790,9245,8897,10481
NKE,6922,6656,13015,12966,
NI,9540.8,9707.6,9872.2,9989.3,10618.5
NMIH,153.289,150.629,145.521,392.773,392.987
NDSN,1259.017,1267.935,1428.359,1418.131,
JWN,4812,4905,6143,5820,
NSC,12397,13014,12207,12697,12723
NTRS,12853.1,12389.3,14502.8,13374.5,13374.5
NFBK,736.357,907.077,762.289,656.637,660.505
NOC,15834,15526,17369,17395,17358
NWBI,428.575,420.228,313.412,568.709,526.945
NWN,970.168,1033.106,1584.34,1268.186,1260.343
NWE,2200.166,2256.878,2258.725,2276.464,2306.982
NLOK,4637,4592,4322,3691,3712
NCLH,6508.423,7048.062,8830.524,10572.472,11148.163
DNOW,74,72,50,47,46
NRG,6673,6447,6991,6344,6161
NUS,484.877,507.011,530.342,517.975,464.103
NUE,4457.416,4475.533,4325.839,5373.276,5526.446
NUVA,696.497,703.595,1113.841,1503.244,1516.467
NVT,1201.3,1113,1259.3,1259.1,1103.8
NVDA,2548,2643,7578,7695,
NVR,683.82,683.678,682.088,1273.725,1593.73
OXY,48753,40011,39743,39654,39702
OII,982.362,977.367,976.028,984.357,980.467
OPI,2538.786,2342.67,2213.467,2178.116,2202.13
OFG,327.028,345.401,201.232,140.018,139.796
OGE,3410.3,3353,3570.6,3568.4,3493.9
OI,6074,5762,6398,6507,5375
OIS,310.974,292.257,306.556,294.709,227.547
ODFL,113.6,111.485,45,144.923,144.927
ONB,2939.708,2844.801,3341.276,2733.701,2814.725
ORI,973.7,974,967.8,968.1,966.2
OLN,3659.5,3723.5,3863.1,4452.2,4341.9
OLLI,330.939,354.094,360.614,374.922,
ZEUS,251.534,219.926,239.336,226.969,201.195
OHI,4636.032,5154.173,5519.649,5225.558,5172.961
OMCL,140.154,110.727,58.837,57.153,517.113
OMC,6803.7,6848.1,6332.7,6896.2,6934
OGS,1716.637,1837.064,1770.288,1812.431,1890.193
OKE,12530.218,12749.044,14264.156,14391.162,14361.441
OSPN,14.228,13.935,12.6,11.749,12.523
ONTO,9.966,24.876,23.748,22.752,21.502
ORCL,53653,53545,73672,70766,
OSUR,5.082,7.223,6.767,6.911,6.501
ORLY,5654.532,5861.885,6450.171,6098.282,6581.386
OFIX,27.063,26.93,28.516,128.3,28.126
OSK,819,992.5,1002.4,984,989
OSIS,384.913,381.406,387.446,355.248,347.495
OMI,1796.784,1658.077,1593.721,1387.654,1219.67
OC,3394,3197,3342,3425,3232
OXM,343.676,342.084,545.556,386.588,
PCAR,10898.4,11261.6,11138.5,10396.6,10392.4
PPBI,867.356,778.669,792.538,638.438,633.645
PCRX,346.006,351.918,354.235,395.69,536.367
PKG,2741.9,2734.5,2736.1,2733.4,2735.3
PACW,3111.392,4121.579,5191.648,666.033,665.298
PLMR,0,0,0,0,0
PZZA,781.041,776.364,769.081,750.619,751.163
PARR,1756.458,1697.012,1418.136,1537.131,1560.72
PKE,0.453,0.42,0.387,0.353,
PK,4384,4131,5127,5371,5370
PRK,513.529,452.639,369.855,464.647,662.23
PH,9239.688,9900.641,9271.296,8601.558,7942.173
PATK,757.471,769.515,776.234,775.023,785.29
PDCO,748.473,767.415,668.326,803.017,
PTEN,999.188,1003.119,1001.773,999.505,995.574
PAYX,986.1,990.6,936,898.1,
PAYC,59.868,61.333,32.198,31.764,31.329
PCTY,84.078,84.623,82.867,181.382,179.437
PYPL,4964,5472,8697,9674,9664
PBF,2408.8,2395,3960.9,4581.5,5353
CNXN,15.713,14.646,16.613,15.565,14.568
PDCE,1290.815,1217.801,1922.578,1959.061,1737.91
PDFS,9.552,9.544,9.264,8.913,8.527
PEB,2485.895,2485.458,2964.558,2755.314,2655.443
PENN,11398.6,11328.4,11797.9,11990,11274
PVAC,565.692,558.107,595.886,556.262,521.759
PMT,8334.774,9139.563,9092.574,6383.327,7580.84
PNR,1201.5,1109.2,1533.5,1098,887.8
PEN,49.442,82.297,79.795,77.589,78.209
PBCT,5805.3,6460.8,7230.9,3089,2527.9
PEP,33628,41243,44978,44571,
PRDO,67.013,64.175,64.118,60.46,57.286
PRFT,151.905,153.305,157.24,175.426,228.807
PKI,2448.244,2256.987,2200.006,2149.231,2028.504
PRGO,3500.1,3502.9,3598.4,4284,3698.6
PRSP,2915,2780,2787,2695,2652
PETS,0.22,0.165,0,0,0
PFE,53979,53474,52288,63613,63148
PGTI,397.107,397.714,463.099,461.997,453.726
PAHC,416.937,397.196,389.816,410.722,421.249
PM,32528,31808,28370,29628,29490
PSX,13213,13024,12963,14446,14526
PLAB,52.76,60.683,59.354,60.366,
DOC,1627.56,1697.743,1506.314,1416.372,1441.643
PPC,2607.638,2604.042,2930.906,2922.04,2919.573
PNFP,2983.89,3024.431,3173.726,2699.147,2085.07
PNW,5571.064,5811.818,6109.882,6707.533,6821.899
PXD,2610,2595,2913,2427,3500
PIPR,109.124,282.147,366.256,402.978,372.332
PBI,3261.669,2964.299,2837.126,2930.08,2826.017
PLT,1679.612,1677.622,1679.355,1645.7,1608.588
PLXS,287.98,305.54,342.369,380.757,379.307
PNM,3283.543,3336.136,3446.621,3603.234,3600.834
PII,1894.192,1806.339,2276,2035.7,1972.2
POOL,724.982,689.742,762.215,623.666,521.934
POST,7079.5,6678.6,7341.4,6943.1,7150.5
PCH,772.661,774.589,774.831,774.838,776.447
POWL,1.2,7.839,7.091,6.976,#N/A
POWI,9.212,8.985,0,0,0
PPG,6274,5844,7000,7141,6347
PPL,23039,23148,23536,23984,24136
PRAA,2753.538,2988.048,2996.569,2763.294,2700.25
PRAH,1592.799,1463.951,1501.597,1491.742,1480.905
PFBC,120.138,119.708,119.249,118.862,118.41
PBH,1788.644,1739.774,1766.635,1655.397,1587.037
PSMT,264.836,269.149,345.399,329.965,
PRI,1568.961,1611.988,1666.09,1706.876,1751.355
PFG,4159.1,4125.5,3775.7,4239.7,4355.6
PRA,308.245,307.872,306.855,305.913,305.184
PRG,721.55,710.416,1003.26,621.506,604.998
PRGS,294.719,320.631,316.856,312.635,
PLD,11891.345,12377.511,16174.704,16155.422,16966.66
PUMP,134.088,133.932,111.029,0.953,0.878
PB,929.199,1860.828,1808.709,645.831,561.99
PRLB,12.37,11.905,11.125,11.747,13.416
PFS,1424.625,1167.961,1254.921,1215.51,1480.782
PRU,31115,31534,34496,32977,33398
PSB,50,0,0,0,0
PTC,669.134,1349.608,1854.88,1340.781,1220.337
PEG,16125,16496,17033,17101,17445
PSA,2179.935,1902.493,2438.668,2952.871,2499.57
PHM,3088.552,3183.021,3822.708,3125.09,3122.324
PVH,5032,4652.8,5082.1,5541.5,
QEP,2145.5,2096.7,1984,1926.1,1648.4
QRVO,1090.184,1642.128,1648.118,1876.089,2669.482
KWR,896.353,963.219,1154.537,1148.516,923.946
QCOM,15933,16320,16469,16427,16361
QLYS,38.246,51.856,49.602,54.328,60.255
NX,157.16,209.455,272.601,202.799,
PWR,2177.633,1656.06,1954.95,1670.051,1484.811
DGX,4545,5416,4590,5137,5149
QDEL,107.256,117.149,110.871,136.665,116.495
QNST,15.47,14.848,14.104,12.905,17.735
RCM,462.2,458.9,471.3,654.3,644.7
RDNT,1190.727,1181.07,1240.179,1170.919,1166.473
RL,2824.7,2820.8,3226.9,3961.5,3607.9
RMBS,163.836,195.034,193.829,194.448,194.731
RRC,3187.023,3241.861,3223.797,3259.571,3119.704
RAVN,3.841,5.382,58.885,8.842,
RJF,25198,26212,33552,28973,30329
RYAM,1257,1105.552,1096.348,1096.118,1097.23
RYN,1070.916,1155.653,1147.803,1467.891,1478.921
RTX,47255,46336,48445,34473,34432
RMAX,288.438,286.742,284.98,283.195,281.386
RC,3201.047,3930.322,4288.814,4276.232,4103.143
RLGY,4385,4069,4592,4632,3936
O,7167.606,8029.778,7663.427,8000.595,8559.187
RRGB,713.473,715.009,794.342,724.846,728.85
RWT,13293.16,15811.335,11275.345,9274.369,9206.47
RBC,1278.9,1210.1,1438.1,1205.4,1148
REG,4110.849,4142.462,4636.56,4514.333,4208.61
REGN,712.7,713.9,715.2,2215.9,2694.8
RGNX,6.826,11.295,10.444,10.098,61.025
RF,15052,10443,13255,6408,4919
RGS,1062.16,1013.163,1178.86,1024.106,965.129
RGA,3991.652,3579,3550,4006,3981
RS,1843.3,1790.5,2039.2,1693.1,1840.2
RNR,1429.698,1452.105,1134.695,1135.216,1135.74
RNST,524.161,954.092,1179.631,718.49,517.706
REGI,261.719,226.354,283.783,102.451,95.945
RCII,523.516,515.954,631.573,472.052,474.383
RGEN,259.282,263.319,266.243,268.416,271.78
RSG,8881.2,8952.5,9234.7,8910.5,9031.8
REZI,1388,1322,1668,1563,1464
RMD,1305.588,1398.989,1506.882,1299.263,1188.935
RGP,100.628,93.776,129.895,128.462,
ROIC,1403.38,1386.246,1442.4,1556.767,1429.922
RPAI,1722.027,1716.054,2541.818,1827.129,1829.843
REX,17.017,15.623,16.185,14.91,
REXR,861.606,861.618,908.779,911.777,911.42
RH,1913.413,1868.005,1874.532,1736.763,
RLI,175.042,173.777,172.49,171.161,171.324
RHI,272.126,273.826,276.29,280.727,300.001
ROK,2256.9,2622.1,2393.6,2737,2363.7
ROG,140.485,132.217,282.453,232.015,68.591
ROL,523.655,493.268,529.046,471.34,382.992
ROP,6484.1,5552.1,5276.6,5866.4,9704
ROST,3473.583,3487.9,6293.215,6269.333,
RCL,11398.101,11733.493,16711.734,19500.865,19539.192
RGLD,166.704,136.548,106.831,309.648,278.813
RES,41.231,39.003,37.744,33.389,32.003
RPM,2818.338,2858.548,2836.471,2585.988,
RPT,952.698,949.915,1174.194,1122.924,1072.215
RUTH,308.039,301.605,385.457,378.176,362.615
R,7964.299,8148.434,8402.265,8382.337,7686.494
SPGI,4392,4680,4656,4631,4775
STBA,540.944,468.859,594.102,290.242,0
SBRA,2612.911,2411.901,2479.346,2455.293,2422.984
SABR,3430.523,3421.219,3794.185,4780.474,4768.87
SAFE,697.448,1378.774,1548.218,1465.907,1475.332
SAFT,37.045,38.996,67.986,65.586,62.004
SAIA,270.121,241.689,359.738,284.713,240.096
SAIL,346.072,351.037,354.414,356.978,360.728
CRM,6493,6253,6208,6185,
SBH,1594.543,2139.974,2502.621,2771.847,2344.719
SAFM,55,214.809,245.913,137.473,
SANM,385.325,441.746,1067.463,1062.717,401.673
BFS,1016.528,1092.788,1120.576,1175.867,1176.883
SBAC,12250.211,12860.84,12958.73,12923.02,13026.803
SCSC,406.03,392.384,352.891,247.488,172.905
SLB,16673,16705,16642,17366,17763
SCHL,107.4,102.9,328.6,320.1,
SWM,584.8,564.8,754.7,669,632.9
SAIC,2137,2127,3156,3017,
SGMS,8886,8839,8771,9257,9482
SBCF,221.809,502.304,400.878,298.35,195.803
CKH,471.122,458.772,434.814,417.291,406.733
STX,4211,4210,4168,4238,4228
SEE,3995.2,3906.1,3958.4,3879.8,3818.1
SEIC,45.704,47.606,45.723,43.509,43.213
SEM,4393.303,4505.957,4643.897,4486.638,4469.766
SIGI,583.033,587.535,889.186,504.539,717.99
SRE,26700,26313,28019,25963,25432
SMTC,208.099,206.201,207.437,204.845,
SENEA,355.656,331.323,312.481,233.757,252.517
SXT,657.274,638.011,609.444,555.984,561.584
SCI,3598.943,3643.98,3621.639,3660.976,3680.368
SVC,6548.897,6137.587,6145.434,6162.503,6212.174
NOW,1124.33,1130.87,1203.121,1198.364,2203.128
SFBS,447.328,548.802,620.924,712.155,745.173
SHAK,347.708,340.432,421.036,375.194,376.24
SHEN,1133.891,1116.805,1101.77,1083.788,744.598
SCVL,244.619,237.254,233.974,234.787,
SSTK,55.322,56.886,45.522,44.28,42.954
SBNY,5273.058,4990.85,5630.161,4735.171,3690.228
SIG,2567.6,2387.4,3083.3,2995,
SLGN,2847.085,2439.621,3029.224,3497.843,3447.77
SLAB,383.267,386.151,681.993,571.774,561.678
SFNC,1603.454,1876.858,804.655,2198.118,2072.006
SPG,27162.491,24680.039,28074.791,27788.299,25657.136
SSD,36.173,36.833,184.818,187.99,117.568
SLP,0.768127,0.6356,1.014917,0.926777,
SITC,1873.801,1888.022,2246.711,1886.849,1776.982
SIX,2472.654,2473.742,2460.346,2823.058,2822.788
SKX,1272.294,1493.046,1866.5,2057.644,2013.377
SKYW,3326.548,3347.158,3249.88,3299.268,3373.187
SWKS,0,150.9,151.9,179.8,178.9
SLG,6264.68,5934.256,6649.555,6638.458,5952.574
SNBR,564.945,588.651,800.761,573.712,375.794
SLM,4899.688,4643.267,4708.036,4449.767,4947.647
SM,2782.957,2775.124,2681.174,2486.149,2379.82
SGH,228.291,222.701,221.366,221.706,
SNA,1247.1,1219.6,1172.8,1512.1,1513
SEDG,60.409,58.279,45.384,45.247,615.416
SAH,2732.692,2631.34,2866.331,2360.628,2297.153
SON,1860.682,1989.409,1936.219,2568.043,2454.917
SJI,3175.86,3388.546,3236.885,3138.966,3274.492
SBSI,1157.836,1170.102,1879.163,1342.543,1171.384
LUV,4381,3996,6349,11422,12595
SWX,2606.946,2772.745,2636.658,2868.985,2784.625
SWN,2430,2395,2425,2587,2590
SPTN,1008.525,998.343,904.824,861.863,851.584
SPPI,3.755,4.055,3.706,3.294,2.865
SR,2865.8,3117.7,3118.3,3027.3,3197
SRC,2085.486,2153.017,2544.78,2443.408,2512.217
SPOK,16.961,17.012,16.208,15.429,14.986
SFM,1719.555,1735.253,1647.297,1667.983,1491.053
SPSC,19.505,23.868,22.823,22.109,21.08
SPXC,409.1,419,511.5,517.9,463.9
FLOW,777.3,770.3,760.1,762.6,457.4
STMP,87.934,69.973,82.12,44.143,87.01
SMP,118.681,94.16,145.14,124.895,44.199
SXI,230.799,229.211,252.573,243.459,237.347
SWK,5366.8,4053.7,6339.7,5881.9,5191.2
SBUX,11234.9,20630.4,22919.1,25722.4,25326.7
STT,20835,15470,51411,31273,26940
STLD,2512.541,2809.773,2716.118,2710.648,2718.844
SCL,269.957,260.502,258.401,244.575,247.348
SRCL,3142.1,3115.2,3024.6,2507.8,2397.8
STE,1303.566,1260.217,1284.444,1202.882,1165.862
STL,3294.924,3004.944,2809.956,2193.619,1185.718
SHOO,177.772,171.796,187.804,194.182,144.185
STC,217.631,224.475,210.946,214.994,223.731
SF,2564.921,2425.833,2709.449,2727.713,2465.302
SNEX,4603.5,4724,4362.6,5910.2,#N/A
STOR,3317.168,3620.389,4213.042,4205.986,3598.563
STRA,109.234,105.841,103.571,102.31,101.542
SYK,8780,11477,10902,13333,13537
RGR,2.524,2.64,2.514,2.393,2.285
INN,862.111,1035.767,1154.403,1178.468,1102.844
SXC,795,794.1,927.8,771.1,724.8
RUN,2457.256,2662.807,2841.51,2820.963,2877.744
SUPN,394.828,400.927,405.519,430.58,433.543
SRDX,0,2.866,3.363,3.683,3.776
SIVB,908.668,584.264,3713.509,1133.501,1109.15
SYKE,293.331,290.673,287.493,251.26,192.148
SYNA,499,502.5,505.8,607.7,630.3
SYF,20363,19866,17248,16069,15771
SYNH,3016.071,2919.609,3213.848,3032.817,2816.599
SNX,3017.236,3733.864,3406.589,3447.767,
SNPS,137.707,858.518,770.341,673.428,
SNV,4975.277,4621.169,4640.115,2853.497,2230.729
SYY,9343.61,9552.143,11501.282,15077.542,14403.005
TROW,146.4,146.3,172.6,166.4,175.3
TRHC,248.987,251.786,255.942,258.256,260.616
TCMD,15.389,16.588,16.431,16.306,21.929
TTWO,141.062,175.508,177.246,181.108,179.844
TALO,799.181,831.349,1129.399,1089.176,1082.205
SKT,1663.606,1661.01,2258.571,2056.685,1658.783
TPR,3897.5,3834.7,3854.9,4493.3,4386.5
TGT,14062,13974,16689,16745,
TCO,3875.231,3951.104,4244.332,4141.849,4138.126
TMHC,2158.601,1983.089,3780.092,3853.941,3260.342
TCF,3602.925,5161.986,6083.129,3709.906,1527.306
TEL,3965,4492,4821,4547,4609
TISI,414.988,402.129,419.472,393.13,411.77
FTI,5072.2,5561.3,5431.9,5503.1,4858.4
TTGT,53.848,54.455,53.475,52.708,51.648
TGNA,4291.46,4296.237,4178.216,4201.542,4006.856
TDY,1066.9,989.5,984.2,982.5,923.7
TFX,2123.594,2031.164,2490.85,2503.708,2218.952
TDS,3472,3373,3423,3554,4036
TPX,1805.5,1796.2,2230.5,2051.2,1864.9
THC,16037,15768,15247,15888,15716
TNC,388.7,385.8,490.9,367.1,351.4
TDC,653,667,662,662,653
TER,456.141,460.012,464.385,465.887,468.626
TEX,1302.7,1306.3,1345.1,1174.5,1174.5
TTEK,276.521,578.121,628.389,539.257,553.264
TCBI,3133.823,3033.188,5590.892,3291.505,3303.989
TXN,6147,6135,6550,6796,6797
TXRH,549.228,555.973,761.106,815.456,826.115
TXT,4457,4091,5308,4993,4997
AES,20090,20450,21090,21373,21346
ALL,7172,7217,6633,6634,6635
ANDE,1284.364,1302.969,1504.042,1181.582,1122.51
BK,63878,63990,43287,69383,66633
BA,25881,28532,38927,61379,60959
SAM,46.533,61.15,171.154,76.203,73.357
BCO,2032.1,1927.9,2057.4,2752.3,2796.7
BKE,368.247,377.552,354.463,333.257,
CATO,164.484,210.333,253.03,210.386,
SCHW,8092,8080,8522,8526,7836
CAKE,1384.659,1607.95,1720.771,1738.385,1741.379
CHEF,424.164,524.852,637.806,537.448,532.204
CC,4483,4471,4333,4636,4375
PLCE,640.075,604.584,666.856,665.937,
CLX,3098,3152,3282,3136,3113
KO,43805,44155,50393,52333,52867
COO,1826.3,2049.4,2163.5,2149.3,
SSP,2069.322,2054.937,2225.961,2088.914,1962.511
ENSG,1311.182,1346.866,1363.69,1152.417,1240.557
EL,6096,7871,8860,8789,8094
GPS,7833,7677,7967,8247,
GEO,2817.642,2868.194,2793.82,2825.21,2805.878
GS,424268,409766,411842,399955,407780
GT,7515,6530,7408,7871,7529
GBX,885.729,885.052,1281.612,1220.123,
HAIN,413.545,416.544,453.906,378.074,385.595
THG,667.8,653.4,707.5,652.8,780.4
HIG,5055,5049,4349,4350,4351
HSY,4738.608,4479.857,5290.983,5293.818,5150.086
HD,35051,37377,41750,40572,
IPG,5311.2,5023.1,5867.6,5572.8,5699.1
SJM,5878.6,5574.2,5783.5,5522.3,
KHC,31292,29845,32779,28860,28417
KR,20766,21178,20643,20626,
MAC,5440.648,5598.077,6204.101,6159.256,6135.169
MCS,503.77,485.161,631.319,626.887,577.578
MIK,4352.234,4333.977,4939.016,4305.386,
MIDD,2058.287,1969.985,2222.361,2419.746,1855.422
MOS,4879.3,4808.4,5760.8,5391,4978.3
NYT,310.097,62.989,0,0,0
ODP,2984,2997,1829,1774,1412
PNTG,240.999,334.855,343.914,314.632,312.496
PNC,63518,62433,74699,48326,43410
PG,30406,29065,36901,35611,31655
PGR,4610.6,4608.6,5583.3,5577.1,5581.6
PRSC,21.958,21.585,182,21.101,19.843
SMG,1651.6,2197.6,2456.3,1856.3,1682.3
SHW,10624.923,10427.5,11515,10609.7,10092
SO,47783,48686,49594,49765,51935
JOE,263.502,270.45,276.33,298.547,321.392
TKR,1750.4,1829.7,2058.3,1889.1,1701.2
TJX,11470.202,11464.474,16506.528,15660.844,
TTC,700.813,791.308,977.016,975.839,
TRV,6949,6938,6925,7395,7387
DIS,46986,48078.857,59555,68313,62323
WEN,3730.591,3713.675,3818.541,3810.357,3685.461
WU,3497.3,3471.6,3299.6,3320.7,3273.4
WMB,22470,22497,22476,22949,22383
TMO,17740,18490,19969,21313,21093
TPRE,114.044,114.089,114.133,114.177,114.222
THO,1840.568,1855.807,2063.97,1741.634,
TIF,2151.6,2243.2,2708.6,2712.6,
TMST,201.7,183,156.1,159.5,119.8
TWI,557.853,529.801,512.541,526.559,490.343
TVTY,1082.298,1093.283,1129.001,1050.391,1009.684
TMUS,42957,42334,42021,97779,102587
TOL,3921.347,4148.722,4451.159,3990.746,
TMP,532.725,771.403,579.692,393.009,365.736
TR,10.038,9.827,9.669,9.629,9.495
BLD,827.439,822.331,811.917,806.73,797.536
TSCO,2913.344,2709.166,3387.908,3327.723,3413.218
TT,6136.1,6139.8,6033.8,5714.4,5714.5
TDG,16898.953,18382,18669,20147,20175
TG,89.039,62.691,62.983,53.254,25.288
THS,2368.8,2297.5,2356,2247.1,2361.6
TREX,42.623,41.321,68.051,38.082,38.143
TPH,1490.571,1340.11,1840.085,1470.584,1386.299
TRMB,1888.4,1986.2,2080.3,1944.8,1781.7
TRN,4731.2,4926.7,4913.6,4914.6,5025
TSE,1241.5,1245.8,1252.6,1351.4,1250
TRIP,169,167,725,725,517
TBK,654.111,579.968,980.729,588.95,800.304
TGI,1549.09,1490.611,1875.333,1635.251,2085.77
TBI,82.857,80.307,334.798,84.667,41.12
TFC,36893,61678,80488,49894,49179
TRUP,22.171,26.186,29.844,27.347,29.839
TRST,205.826,205.219,203.088,230.988,245.58
TRMK,549.572,435.626,599.962,316.047,426.127
TTEC,384.96,478.979,880.095,875.089,488.899
TTMI,1496.469,1500.632,1501.683,1497.824,1113.828
TUP,1007.7,960.6,1073,884.3,845.2
TWTR,2545.113,3288.685,4136.993,4132.783,4348.554
TYL,24.547,23.209,21.921,20.343,18.65
TSN,11932,12247,12661,12570,11868
USB,57197,65232,78642,63174,56166
USCR,777.8,759.9,864.6,832.4,1175.9
USPH,140.575,137.833,208.733,129.153,99.55
SLCA,1419.881,1403.999,1411.64,1394.656,1360.931
UDR,4066.032,4906.082,5082.967,4963.896,5113.992
UFPI,238.441,243.85,244.439,240.928,391.476
UGI,6600.3,7154.7,6919.1,6814.3,6802
ULTA,1929.433,1938.347,2788.741,2763.568,
UCTT,351.657,334.2,374.4,375.3,323.4
UMBF,1952.571,2055.28,2027.499,2049.69,2213.048
UMPQ,1876.666,1700.68,1950.764,1936.176,1835.708
UA,1299.931,1299.222,2236.793,2278.822,2027.023
UAA,1299.931,1299.222,2236.793,2278.822,2027.023
UFI,130.507,135.212,139.129,107.204,103.369
UNF,45.632,44.731,43.33,41.83,
UNP,27654,27033,29541,30068,29661
UIS,730,733.2,690.2,253,197.7
UAL,20140,20450,23429,24892,33818
UBSI,2102.25,2274.025,2748.209,1884.494,1149.635
UCBI,280.245,212.664,212.849,311.631,360.671
UFCS,17.389,15.851,0,0,0
UIHC,159.911,159.29,161.094,160.751,160.321
UNFI,4231.683,4105.396,3736.696,3658.687,
UPS,26464,28167,31620,29945,28751
URI,12360,12139,12304,11111,10753
X,2812,3878,4968,5842,5124
