Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
DRQ,5.743,5.567,5.022,4.698,7.209
DSPG,12.745,13.005,12.114,12.172,12.731
DTE,15927,17610,18700,19078,19822
DUK,62051,62901,65835,66061,65522
DRE,2812.603,2961.667,3146.611,3118.986,3189.928
DNKN,3470.251,3459.615,3554.766,3433.914,3420.272
DD,18184,18001,18130,19746,24820
DXC,10797,10491,11493,13712,11321
DXPE,305.389,304.127,301.169,282.644,270.242
DY,1061.699,937.088,1458.713,758.622,
EGBN,377.472,528.626,627.403,626.217,622.73
EXP,1034.827,993.134,1627.331,1550.002,1296.945
EGRX,43.998,42.658,151.502,40.37,38.979
EWBC,1107.715,1234.937,1424.778,2236.001,2090.666
DEA,903.557,902.754,937.151,900.456,899.752
EGP,1127.011,1196.791,1264.765,1246.593,1224.764
EMN,6406,5978,6480,6316,6042
ETN,8478,8774,8763,8588,8524
EV,2237.608,2153.784,2020.364,2098.432,
EBAY,8412,8422,9195,9088,8134
EBIX,771.694,763.265,730.991,729.263,730.045
ECHO,192.499,193.583,198.462,173.569,172.591
ECL,7316.6,6932.5,8341.7,7729.1,7350.1
EPC,1229.2,1170.7,1165.2,1300.9,1302.7
EIX,19260,19595,21984,21414,22859
EW,670.7,678.8,675.2,684.5,690.1
EHTH,38.498,34.305,0,50.706,47.511
LOCO,317.877,311.015,351.616,345.939,286.544
EA,1251,1238,1220,1071,1082
LLY,15710.5,15925.6,17230.3,16328.2,16922.1
EME,511.167,570.325,755.755,561.426,534.669
EBS,843.3,836.9,816.1,813.3,904.5
EMR,5721,6518,8202,7733,8007
EIG,17.7,18.4,17.4,57.8,21.4
ENTA,1.828,10.747,10.722,10.439,9.578
EHC,3717.4,3346.8,3638,3860.7,3852.4
ECPG,3429.343,3607.044,3404.427,3353.73,3252.101
WIRE,0,0,0,0,0
ENDP,8498.919,8490.095,8481.144,8424.895,8404.87
ENR,3495.1,3565.8,3381.7,3677.8,4280.4
EPAC,343.007,341.603,338.639,304.949,
ENS,1231.872,1202.58,1224.187,1201.17,1140.927
ENVA,910.234,1026.893,1127.515,942.193,898.73
ENPH,117.397,118.255,410.266,369.217,376.784
NPO,704.4,667,504,503.4,502.1
ETR,19677.3,20119.208,21400.359,21429.592,22060.884
EOG,6046.663,5974.808,5544.536,5976.904,5976.09
PLUS,101.198,82.99,85.899,131.826,51.628
EPR,3345.969,3338.48,4086.405,4083.118,4080.234
EQT,5226.318,5381,5036.864,4620.34,4730.95
