,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
DDD,0,0,0,0,0
MMM,1.44,1.44,1.47,1.47,1.47
EGHT,0,0,0,0,0
AOS,0.22,0.24,0.24,0.24,0.24
AAON,0,0.16,0,0.19,0
AIR,0.075,0.075,0.075,#N/A,
ABT,0.32,0.36,0.36,0.36,0.36
ABBV,1.07,1.18,1.18,1.18,1.18
ANF,0.2,0.2,0.2,#N/A,
ABMD,0,0,0,0,0
ABM,0.18,0.185,0.185,0.185,
ACHC,0,0,0,0,0
AKR,0.28,0.29,0.29,0,0
ACN,0.8,0.8,0.8,0.8,
ACIW,0,0,0,0,0
ATVI,0,0.37,0,0,0
AYI,0.13,0.13,0.13,0.13,
ADUS,0,0,0,0,0
ADNT,0,0,0,0,0
ADBE,0,0,0,0,
ATGE,0,0,0,0,0
ADTN,0.09,0.09,0.09,0.09,0.09
AAP,0.06,0.06,0.25,0.25,0.25
AEIS,0,0,0,0,0
AMD,0,0,0,0,0
ASIX,0,0,0,0,0
ACM,0,0,0,0,0
AEGN,0,0,0,0,0
AJRD,0,0,0,0,0
AVAV,0,0,0,0,
AMG,0.32,0.32,0.32,0.01,0.01
AFL,0.27,0.27,0.28,0.28,0.28
AGCO,0.16,0.16,#N/A,0.16,0.16
A,0.164,0.18,0.18,0.18,
AGYS,0,0,0,0,0
ADC,0.57,0.585,0.585,0.6,0.6
APD,1.16,1.16,1.34,1.34,1.34
AKAM,0,0,0,0,0
ALG,0.12,0.12,0.13,0.13,0.13
ALRM,0,0,0,0,0
ALK,0.35,0.35,0.375,0,0
AIN,0.18,0.19,0.19,0.19,0.19
ALB,0.3675,0.3675,0.385,0.385,0.385
ALEX,0.19,0.19,0.19,#N/A,#N/A
ARE,1,1.03,1.03,1.06,1.06
ALXN,0,0,0,0,0
ALGN,0,0,0,0,0
Y,0,0,0,0,0
ATI,0,0,0,0,0
ABTX,0,0,0.1,0.1,0.1
ALGT,0.7,0.7,0.7,#N/A,#N/A
ALLE,0.27,0.27,0.32,0.32,0.32
ALE,0.5875,0.5875,0.6175,0.6175,0.6175
ADS,0.63,0.63,0.63,0.21,0.21
LNT,0.355,0.355,0.38,0.38,0.38
MDRX,0,0,0,0,0
GOOG.L,#N/A,,,,
GOOG,0,0,0,0,0
MO,0.84,0.84,0.84,0.84,0.86
AMZN,0,0,0,0,0
AMBC,0,0,0,0,0
AMCX,0,0,0,0,0
AMCR,0.12,0.115,0.115,0.115,0.115
AMED,0,0,0,0,0
AEE,0.475,0.495,0.495,0.495,0.495
AAL,0.1,0.1,0.1,#N/A,#N/A
AAT,0.28,0.3,0.3,0.2,0.25
AXL,0,0,#N/A,#N/A,#N/A
ACC,0.47,0.47,#N/A,0.47,0.47
AEO,0.1375,0.1375,0.1375,#N/A,
AEP,0.67,0.7,#N/A,0.7,0.7
AEL,0,0.3,0,0,0
AXP,0.43,0.43,0.43,0.43,0.43
AFG,0.4,0.45,0.45,0.45,0.45
AIG,0.32,0.32,0.32,0.32,0.32
APEI,0,0,0,0,0
AWR,0.305,0.305,0.305,0.305,0.335
AMT,0.95,1.01,1.08,1.1,1.14
AVD,0.02,0.02,0.02,#N/A,#N/A
AWK,0.5,0.5,0.55,0.55,0.55
AMWD,0,0,0,0,
CRMT,0,0,0,0,
AMP,0.97,0.97,0.97,1.04,1.04
ABCB,0.15,0.15,0.15,0.15,0.15
AMSF,0.25,0.25,0.27,0.27,0.27
ABC,0.4,0.4,0.42,0.42,0.42
AME,0.14,0.14,0.18,0.18,0.18
AMGN,1.45,1.45,1.6,1.6,1.6
AMN,0,0,0,0,0
AMPH,0,0,0,0,0
APH,0.25,0.25,0.25,0.25,0.25
ADI,0.54,0.54,0.62,0.62,
ANGO,0,0,0,0,
ANIP,0,0,0,0,0
ANIK,0,0,0,0,0
ANSS,0,0,0,0,0
AM,0.3075,0.3075,#N/A,0.3075,0.3075
ANTM,0.8,0.8,0.95,0.95,0.95
AON,0.44,0.44,#N/A,0.44,0.44
APA,0.25,0.25,0.025,0.025,0.025
AIV,0.4829,0.4829,0.50766,0.50766,0.50766
APOG,0.175,0.1875,0.1875,0.1875,
ARI,0.46,0.46,0.4,0.35,0.35
AAPL,0.1925,0.1925,0.1925,0.205,0.205
AIT,0.31,0.32,0.32,0.32,0.32
AMAT,0.21,0.21,0.22,0.22,
AAOI,0,0,0,0,0
ATR,0.36,0.36,#N/A,0.36,0.36
APTV,0.22,0.22,0.22,#N/A,#N/A
ARCB,0.08,0.08,0.08,0.08,0.08
ADM,0.35,0.35,0.36,0.36,0.36
AROC,0.145,0.145,0.145,0.145,0.145
ARNC,#N/A,#N/A,#N/A,#N/A,#N/A
ACA,0.05,0.05,0.05,0.05,0.05
ANET,0,0,0,0,0
ARLO,0,0,0,0,0
AHH,0.21,0.21,0.22,0,0.11
ARR,0.51,0.51,0.51,0.09,0.3
ARW,0,0,0,0,0
ARWR,0,0,0,0,0
AJG,0.43,0.43,0.45,0.45,0.45
ABG,0,0,0,0,0
ASGN,0,0,0,0,0
ASH,0.275,0.275,0.275,0.275,0.275
ASB,0.17,0.18,0.18,0.18,0.18
AIZ,0.6,0.63,#N/A,0.63,0.63
AGO,0.18,0.18,0.2,0.2,0.2
ASTE,0.11,0.11,0.11,0.11,0.11
T,0.51,0.52,0.52,0.52,0.52
AAWW,0,0,0,0,0
ATO,0.525,0.575,0.575,0.575,0.575
ATNI,0.17,0.17,0.17,0.17,0.17
ADSK,0,0,0,0,
ADP,0.79,0.91,0.91,0.91,0.91
AN,0,0,0,0,0
AZO,0,0,0,0,
AVB,1.52,1.52,1.59,1.59,1.59
AVNS,0,0,0,0,0
AVY,0.58,0.58,0.58,0.58,0.58
AVNT,0.195,0.2025,0.2025,0.2025,0.2025
CAR,0,0,0,0,0
AVA,0.3875,0.3875,0.405,0.405,0.405
AVT,0.21,0.21,0.21,0.21,0.21
ACLS,0,0,0,0,0
AAXN,0,0,0,0,0
AX,0,0,0,0,0
AZZ,0.17,0.17,0.17,0.17,
BGS,0.475,0.475,0.475,0.475,0.475
BMI,0.17,0.17,0.17,0.17,0.18
BKR,0.18,0.18,0.18,0.18,0.18
BCPC,0,0.52,#N/A,#N/A,#N/A
BLL,0.15,0.15,0.15,0.15,0.15
BANC,0.06,0.06,0.06,0.06,0.06
BANF,0.32,0.32,0.32,0.32,0.34
BXS,0.185,0.185,0.185,0.185,0.185
BAC,0.18,0.18,0.18,0.18,0.18
BOH,0.65,0.67,0.67,0.67,0.67
OZK,0.24,0.25,0.26,0.27,0.2725
BKU,0.21,0.21,0.23,0.23,0.23
BANR,0.41,0.41,0.41,0.41,0.41
BNED,0,0,0,0,
B,0.16,0.16,0.16,0.16,0.16
BAX,0.22,0.22,0.22,0.245,0.245
BDX,0.77,0.79,0.79,0.79,0.79
BBBY,0.17,0.17,#N/A,#N/A,
BELF.B,#N/A,,,,
BDC,0.05,0.05,0.05,0.05,0.05
BHE,0.15,0.15,0.16,0.16,0.16
BRK.B,0,0,0,0,0
BHLB,0.23,0.23,0.24,0.24,0.12
BBY,0.5,0.5,0.55,0.55,
BIG,0.3,0.3,0.3,0.3,
BIIB,0,0,0,0,0
BIO,0,0,0,0,0
TECH,0.32,0.32,0.32,0.32,0.32
BEAT,0,0,0,0,0
BJRI,0.12,0.13,0,0,0
BJ,0,0,0,0,
BKH,0.505,0.535,0.535,0.535,0.535
BLKB,0.12,0.12,0.12,0,0
BLK,3.3,3.3,3.63,3.63,3.63
BLMN,0.1,0.1,0.2,#N/A,#N/A
BCOR,0,0,0,0,0
BCC,0.09,0.1,0.1,0.1,0.1
BCEI,0,0,0,0,0
BKNG,0,0,0,0,0
BOOT,0,0,0,0,0
BWA,0.17,0.17,0.17,0.17,0.17
BPFH,0.12,0.12,0.12,0.12,0.06
BXP,0.95,0.98,0.98,0.98,0.98
BSX,0,0,0,0,0
EPAY,0,0,0,0,0
BYD,0.07,0.07,0,0,0
BRC,0.2175,0.2175,0.2175,0.2175,
BDN,0.19,0.19,0.19,0.19,0.19
BHF,0,0,0,0,0
BSIG,0.1,0.1,0.1,0.01,0.01
EAT,0.38,0.38,0.38,#N/A,#N/A
BMY,0.41,0.45,0.45,0.45,0.45
VTOL,0,0,#N/A,#N/A,
BRX,0.28,0.285,0.285,0,0
AVGO,2.65,3.25,3.25,3.25,
BR,0.54,0.54,0.54,0.54,0.575
BRKL,0.11,0.115,0.115,0.115,0.115
BRKS,0.1,0.1,0.1,0.1,0.1
BRO,0.08,0.085,#N/A,0.085,0.085
BF.B,0.166,0.1743,0.1743,0.1743,
BC,0.21,0.24,0.24,0.24,0.24
BLDR,0,0,0,0,0
CHRW,0.5,0.51,0.51,0.51,0.51
CABO,2.25,2.25,2.25,2.25,2.5
CBT,0.35,0.35,0.35,0.35,0.35
COG,0.09,0.1,0.1,0.1,0.1
CACI,0,0,0,0,0
CADE,0.175,0.175,0.175,0.05,0.05
CDNS,0,0,0,0,0
CZR,0,0,0,0,0
CAMP,0,0,0,0,
CVGW,1.1,0,0,0,
CAL,0.07,0.07,0.07,0.07,
CWT,0.1975,0.1975,0.2125,0.2125,0.2125
ELY,0.01,0.01,0.01,0.01,#N/A
CPE,0,0,0,0,0
CALM,0,0,0,0,
CPT,0.8,0.8,0.83,0.83,0.83
CPB,0.35,0.35,0.35,0.35,
CMD,0,0.105,0,0,
COF,0.4,0.4,0.4,0.4,0.1
CFFN,0.085,0.085,0.085,0.085,0.085
CPRI,0,0,0,0,0
CMO,0.12,0.15,0.15,0.15,0.15
CAH,0.4811,0.4811,0.4811,0.4859,0.4859
CSII,0,0,0,0,0
CATM,0,0,0,0,0
CTRE,0.225,0.225,0.25,0.25,0.25
CSL,0.5,0.5,0.5,0.5,0.525
KMX,0,0,0,0,
CCL,0.5,0.5,#N/A,#N/A,
CRS,0.2,0.2,0.2,0.2,0.2
CARR,#N/A,#N/A,0,0.08,0
CRI,0.5,0.5,0.6,0,0
CASY,0.32,0.32,0.32,0.32,
CTLT,0,0,0,0,0
CAT,1.03,1.03,1.03,1.03,1.03
CATY,0.31,0.31,0.31,0.31,0.31
CVCO,0,0,0,0,0
CBOE,0.36,0.36,0.36,0.36,0.42
CBRE,0,0,0,0,0
CDK,0.15,0.15,0.15,0.15,0.15
CDW,0.295,0.38,0.38,0.38,0.38
CE,0.62,0.62,0.62,0.62,0.62
CNC,0,0,0,0,0
CNP,0.2875,0.2875,0.29,0.15,0.15
CENT,0,0,0,0,0
CENT.A,#N/A,,,,
CPF,0.23,0.23,0.23,0.23,0.23
CENX,0,0,0,0,0
CCS,0,0,0,0,0
CDAY,0,0,0,0,0
CERN,0.18,0.18,0.18,0.18,0.18
CEVA,0,0,0,0,0
CF,0.3,0.3,0.3,0.3,0.3
CHX,0,0,0,0,0
CRL,0,0,0,0,0
GTLS,0,0,0,0,0
CHTR,0,0,0,0,0
CLDT,0.33,0.33,0.22,0,0
CHE,0.32,0.32,0.32,0.32,0.34
CPK,0.405,0.405,0.405,0.44,0.44
CVX,1.19,1.19,1.29,1.29,1.29
CHS,0.0875,0.0875,0.09,#N/A,
CMG,0,0,0,0,0
CHH,0.215,0.225,0.225,#N/A,#N/A
CB,0.75,0.75,0.75,0.78,0.78
CHD,0.2275,0.2275,0.24,0.24,0.24
CHDN,0,0.581,0,0,0
CHUY,0,0,0,0,0
CIEN,0,0,0,0,
CI,0,0.04,0,0,0
XEC,0.2,0.2,0.22,0.22,0.22
CBB,0,0,0,0,0
CINF,0.56,0.56,0.6,0.6,0.6
CNK,0.34,0.34,0.36,#N/A,#N/A
CTAS,0,0,2.55,0,
CIR,0,0,0,0,0
CRUS,0,0,0,0,0
CSCO,0.35,0.35,0.36,0.36,
CIT,0.35,0.35,#N/A,0.35,0.35
C,0.51,0.51,0.51,0.51,0.51
CFG,0.36,0.36,0.39,0.39,0.39
CTXS,0.35,0.35,0.35,0.35,0.35
CHCO,0.57,0.57,0.57,0.57,0.57
CLH,0,0,0,0,0
CLW,0,0,0,0,0
CLF,0.06,0.06,0.06,#N/A,#N/A
CCMP,0.42,0.42,0.44,0.44,0.44
CME,0.75,0.75,0.85,0.85,0.85
CMS,0.3825,0.3825,0.4075,0.4075,0.4075
CNO,0.11,0.11,0.11,0.12,0.12
CNX,0,0,0,0,0
COKE,0.25,0.25,#N/A,0.25,0.25
CCOI,0.62,0.64,0.66,0.68,0.705
CGNX,0.05,0.055,0.055,0.055,0.055
CTSH,0.2,0.2,0.22,0.22,0.22
COHR,0,0,0,0,#N/A
CHRS,0,0,0,0,0
COHU,0.06,0.06,0.06,#N/A,#N/A
CFX,0,0,0,0,0
CL,0.43,0.43,0.43,0.44,0.44
COLB,0.28,0.28,0.5,0.28,0.28
COLM,0.24,0.24,0.26,#N/A,#N/A
CMCS.A,#N/A,,,,
CMA,0.67,0.67,0.68,0.68,0.68
FIX,0.1,0.1,0.105,0.105,0.105
CBSH,0.23583,0.23583,0.25714,0.25714,0.244898112
CMC,0.12,0.12,0.12,0.12,
CBU,0.41,0.41,0.41,0.41,0.42
CYH,0,0,0,0,0
CHCT,0.4125,0.415,0.4175,0.42,0.4225
CVLT,0,0,0,0,0
CMP,0.72,0.72,0.72,0.72,0.72
CPSI,0.1,0.1,0.1,0.1,0.1
CMTL,0.1,0.1,0.1,0.1,
CAG,0.2125,0.2125,0.2125,0.2125,
CNXC,#N/A,,,,
CXO,0.125,0.125,0.2,0.2,0.2
CNMD,0.2,0.2,0.2,0.2,0.2
CONN,0,0,0,0,
COP,0.305,0.42,0.42,0.42,0.42
CEIX,0,0,0,0,0
CNSL,0,0,0,0,0
ED,0.74,0.74,0.765,0.765,0.765
STZ,0.75,0.75,0.75,0.75,
CTB,0.105,0.105,0.105,0.105,0.105
CPS,0,0,0,0,0
CPRT,0,0,0,0,
CORT,0,0,0,0,0
CLB,0.55,0.55,#N/A,0.01,0.01
CXW,0.44,0.44,0.44,0,0
CLGX,0,0.22,0,0.22,0.33
CORE,0.11,0.12,0.12,0.12,0.12
COR,1.22,1.22,1.22,1.22,1.22
GLW,0.2,0.2,0.22,0.22,0.22
OFC,0.275,0.275,0.275,0.275,0.275
CTVA,0,0.13,0.13,0.13,0.13
CRVL,0,0,0,0,0
COST,0.65,0.65,0.7,0.7,
COTY,0.125,0.125,0.125,#N/A,#N/A
CUZ,0.29,0.29,0.3,0.3,0.3
CVET,0,0,0,0,0
CBRL,1.3,1.3,1.3,1.3,
CR,0.39,0.39,0.43,0.43,0.43
CREE,0,0,0,0,0
CROX,0,0,0,0,0
CCRN,0,0,0,0,0
CCI,1.125,1.2,1.2,1.2,1.2
CRY,0,0,0,0,0
CSGS,0.2225,0.2225,0.235,0.235,0.235
CSX,0.24,0.24,0.26,0.26,0.26
CTS,0.04,0.04,0.04,0.04,0.04
CUB,0.135,0,0.135,0,0.135
CFR,0.71,0.71,0.71,0.71,0.71
CMI,1.311,1.311,1.311,1.311,1.311
CW,0.17,0.17,0.17,0.17,0.17
CUBI,0,0,0,0,0
CUTR,0,0,0,0,0
CVBF,0.18,0.18,0.18,0.18,0.18
CVS,0.5,0.5,0.5,0.5,0.5
CONE,0.5,0.5,0.5,0.5,0.51
CYTK,0,0,0,0,0
DHI,0.15,0.175,0.175,0.175,0.175
DAKT,0.05,0.05,0.05,#N/A,
DAN,0.1,0.1,0.1,#N/A,#N/A
DHR,0.17,0.17,0.18,0.18,0.18
DRI,0.88,0.88,0,0,
DAR,0,0,0,0,0
PLAY,0.16,0.16,#N/A,#N/A,
DVA,0,0,0,0,0
DECK,0,0,0,0,0
DE,0.76,0.76,0.76,0.76,
DAL,0.4025,0.4025,0.4025,#N/A,#N/A
DLX,0.3,0.3,#N/A,0.3,0.3
XRAY,0.1,0.1,0.1,0.1,0.1
DBI,0.25,0.25,0.1,#N/A,
DVN,0.09,0.09,0.11,0.11,0.11
DXCM,0,0,0,0,0
FANG,0.1875,0.1875,0.375,0.375,0.375
DRH,0.125,0.125,#N/A,#N/A,#N/A
DKS,0.275,0.275,0.3125,0.3125,
DBD,0,0,0,0,0
DGII,0,0,0,0,0
DLR,1.08,1.08,1.12,1.12,1.12
DCOM,0.14,0.14,0.14,0.14,0.14
DIN,0.69,0.69,0.76,#N/A,#N/A
DIOD,0,0,0,0,0
DFS,0.44,0.44,0.44,0.44,0.44
DISC.A,#N/A,,,,
DISC.K,#N/A,,,,
DISH,0,0,0,0,0
DHC,0.15,0.15,0.15,0.01,0.01
BOOM,0.125,0.125,0.125,#N/A,#N/A
DG,0.32,0.32,0.36,0.36,
DLTR,0,0,0,0,
D,0.9175,0.9175,0.94,0.94,0.94
DPZ,0.65,0.78,0.78,0.78,
UFS,0.455,0.455,0.455,#N/A,#N/A
DCI,0.21,0.21,0.21,0.21,
DFIN,0,0,0,0,0
LPG,0,0,0,0,0
DORM,0,0,0,0,0
DEI,0.26,0.28,0.28,0.28,0.28
DOV,0.49,0.49,0.49,0.49,0.495
DOW,0.7,0.7,0.7,0.7,0.7
DRQ,0,0,0,0,0
DSPG,0,0,0,0,0
DTE,0.945,1.0125,1.0125,1.0125,1.0125
DUK,0.945,0.945,0.945,0.945,0.965
DRE,0.215,0.235,0.235,0.235,0.235
DNKN,0.375,0.375,0.4025,0,0.4025
DD,0.3,0.3,0.3,0.3,0.3
DXC,0.21,0.21,0.21,#N/A,#N/A
DXPE,0,0,0,0,0
DY,0,0,0,0,
EGBN,0.22,0.22,0.22,0.22,0.22
EXP,0.1,0.1,0.1,#N/A,#N/A
EGRX,0,0,0,0,0
EWBC,0.275,0.275,0.275,0.275,0.275
DEA,0.26,0.26,0.26,0.26,0.26
EGP,0.75,0.75,0.75,0.75,0.79
EMN,0.62,0.66,0.66,0.66,0.66
ETN,0.71,0.71,0.73,0.73,0.73
EV,0.375,#N/A,0.375,0.375,
EBAY,0.14,0.14,0.16,0.16,0.16
EBIX,0.075,0.075,0.075,0.075,0.075
ECHO,0,0,0,0,0
ECL,0.46,0.47,0.47,0.47,0.47
EPC,0,0,0,0,0
EIX,0.6125,0.6375,0.6375,0.6375,0.6375
EW,0,0,0,0,0
EHTH,0,0,0,0,0
LOCO,0,0,0,0,0
EA,0,0,0,0,0
LLY,0.645,0.645,0.74,0.74,0.74
EME,0.08,0.08,#N/A,0.08,0.08
EBS,0,0,0,0,0
EMR,0.49,0.5,0.5,0.5,0.5
EIG,0.22,0.22,0.25,0.25,0.25
ENTA,0,0,0,0,0
EHC,0.28,0.28,0.28,0.28,0.28
ECPG,0,0,0,0,0
WIRE,0.02,0.02,0.02,0.02,0.02
ENDP,0,0,0,0,0
ENR,0.3,0.3,0.3,0.3,0.3
EPAC,0,0,0,0.04,
ENS,0.175,0.175,0.175,0.175,0.175
ENVA,0,0,0,0,0
ENPH,0,0,0,0,0
NPO,0.25,0.25,0.26,0.26,0.26
ETR,0.91,0.93,0.93,0.93,0.93
EOG,0.2875,0.2875,0.375,0.375,0.375
PLUS,0,0,0,0,0
EPR,1.125,1.125,1.1325,#N/A,#N/A
EQT,0.03,0.03,0.03,#N/A,#N/A
EFX,0.39,0.39,0.39,0.39,0.39
EQIX,2.46,2.46,2.66,2.66,2.66
ETRN,0.45,0.45,#N/A,0.15,0.15
EQR,0.5675,0.5675,0.6025,0.6025,0.6025
ESE,0.08,0.08,0.08,0.08,0.08
ESNT,0.15,0.15,0.16,0.16,0.16
EPRT,0.22,0.23,0.23,0.23,0.23
WTRG,0.2343,0.2343,0.2343,0.2343,0.2507
ESS,1.95,1.95,2.0775,2.0775,2.0775
ETH,0.21,0.21,0.21,0,0.21
ETSY,0,0,0,0,0
EVR,0.58,0.58,0.58,0.58,0.58
RE,1.4,1.55,1.55,1.55,1.55
EVRG,0.475,0.505,0.505,0.505,0.505
ES,0.535,0.535,0.5675,0.5675,0.5675
EVTC,0.05,0.05,0.05,0.05,0.05
EXEL,0,0,0,0,0
EXC,0.3625,0.3625,0.3825,0.3825,0.3825
EXLS,0,0,0,0,0
EXPE,0.34,0.34,0.34,0,0
EXPD,0,0.5,0,0.52,0
EXPO,0.16,0.16,0.19,0.19,0.19
EXTN,0,0,0,0,0
EXR,0.9,0.9,0.9,0.9,0.9
EXTR,0,0,0,0,0
XOM,0.87,0.87,0.87,0.87,0.87
EZPW,0,0,0,0,#N/A
FNB,0.12,0.12,0.12,0.12,0.12
FFIV,0,0,0,0,0
FN,0,0,0,0,0
FB,0,0,0,0,0
FDS,0.72,0.72,0.77,0.77,
FICO,0,0,0,0,0
FARO,0,0,0,0,0
FAST,0.22,0.22,0.25,0.25,0.25
FBK,0.08,0.08,0.09,0.09,0.09
FRT,1.05,1.05,1.05,1.05,1.06
FSS,0.08,0.08,0.08,0.08,0.08
FHI,0.27,0.27,0.27,0.27,0.27
FDX,0.65,0.65,0.65,0.65,
FOE,0,0,0,0,0
FIS,0.35,0.35,0.35,0.35,0.35
FRGI,0,0,0,0,0
FITB,0.24,0.24,0.27,0.27,0.27
FAF,0.42,0.42,0.44,0.44,0.44
FBNC,0.12,0.18,0.18,0.18,0.18
FBP,0.03,0.05,0.05,0.05,0.05
FCF,0.1,0.1,0.11,0.11,0.11
FFBC,0.23,0.23,0.23,0.23,0.23
FFIN,0.12,0.12,0.12,0.13,0.13
FHB,0.26,0.26,0.26,0.26,0.26
FHN,0.14,0.14,0.15,0.15,0.15
FR,0.23,0.23,0.25,0.25,0.25
FMBI,0.14,0.14,0.14,0.14,0.14
FRC,0.19,0.19,0.19,0.2,0.2
FSLR,0,0,0,0,0
FCFS,0.25,0.27,0.27,0.27,0.27
FE,0.38,0.38,0.39,0.39,0.39
FISV,0,0,0,0,0
FIVE,0,0,0,0,
FBC,0.04,0.04,0.05,0.05,0.05
FLT,0,0,0,0,0
FLIR,0.17,0.17,0.17,0.17,0.17
FLO,0.19,0.19,0.19,0.2,0.2
FLS,0.19,0.19,0.2,0.2,0.2
FLR,0.21,0.1,0.1,0,#N/A
FMC,0.4,0.44,0.44,0.44,0.44
FL,0.38,0.38,0.4,0,
F,0.15,0.15,0.15,0,0
FORM,0,0,0,0,0
FORR,0,0,0,0,0
FTNT,0,0,0,0,0
FTV,0.07,0.07,0.07,0.07,0.07
FBHS,0.22,0.22,0.24,0.24,0.24
FWRD,0.18,0.18,0.18,0.18,0.18
FOSL,0,0,0,0,0
FBM,0,0,0,0,0
FCPT,0.2875,0.305,0.305,0.305,0.305
FOXA,0,0.23,0,0.23,0
FOX,0,0.23,0,0.23,0
FOXF,0,0,0,0,0
FELE,0.145,0.145,0.155,0.155,0.155
BEN,0.26,0.27,0.27,0.27,0.27
FSP,0.09,0.09,0.09,0.09,0.09
FCX,0.05,0.05,0,0,0
FDP,0.06,0.08,0.1,0.05,0.05
FCN,0,0,0,0,0
FLGT,0,0,0,0,0
FULT,0.13,0.13,0.13,0.13,0.13
FF,0.06,0.06,0.06,0.06,0.06
GME,0,0,0,0,
GCI,0.38,0.38,#N/A,#N/A,#N/A
GRMN,0.57,0.57,0.57,0.61,0.61
IT,0,0,0,0,0
GATX,0.46,0.46,0.48,0.48,0.48
GCP,0,0,0,0,0
GNRC,0,0,0,0,0
GD,1.02,1.02,1.1,1.1,1.1
GE,0.01,0.01,0.01,0.01,0.01
GIS,0.49,0.49,0.49,0.49,
GM,0.38,0.38,0.38,0,0
GCO,0,0,0,0,
GNTX,0.115,0.115,0.12,0.12,#N/A
THRM,0,0,0,0,0
GPC,0.7625,0.7625,0.79,0.79,0.79
GNW,0,0,0,0,0
GTY,0.35,0.37,0.37,0.37,0.37
ROCK,0,0,0,0,0
GIII,0,0,0,0,
GILD,0.63,0.63,0.68,0.68,0.68
GBCI,0.29,0.29,0.29,0.29,0.3
GLT,0.13,0.13,0.13,0.135,0.135
GKOS,0,0,0,0,0
GNL,0.5325,0.5325,0.4,0.4,0.4
GPN,0.01,0.195,0.195,0.195,0.195
GL,0.1725,0.1725,0.1875,0.1875,0.1875
GMED,0,0,0,0,0
GLUU,0,0,0,0,0
GMS,0,0,0,0,
GGG,0.16,0.175,0.175,0.175,0.175
GHC,1.39,1.39,1.45,1.45,1.45
LOPE,0,0,0,0,0
GVA,0.13,0.13,0.13,0.13,0.13
GPMT,0.42,0.42,0,0,0.2
GWB,0.3,0.3,0.3,0.15,0.01
GDOT,0,0,0,0,0
GPRE,0,0,0,0,0
GHL,0.05,0.05,0.05,0.05,0.05
GEF,0.44,0.44,0.44,0.44,
GFF,0.0725,0.075,0.075,0.075,0.075
GO,0,0,0,0,0
GPI,0.28,0.29,0.3,0,0
GRUB,0,0,0,0,0
GES,0.1125,0.1125,0,0,
HRB,0.26,0.26,0.26,0.26,
FUL,0.16,#N/A,0.1625,0.1625,
HAE,0,0,0,0,0
HAL,0.18,0.18,0.18,0.045,0.045
HALO,0,0,0,0,0
HWC,0.27,0.27,0.27,0.27,0.27
HBI,0.15,0.15,0.15,0.15,0.15
HNGR,0,0,0,0,0
HAFC,0.24,0.24,0.24,0.12,0.08
HOG,0.375,0.375,0.38,0.02,0
HLIT,0,0,0,0,0
HSC,0,0,0,0,0
HAS,0.68,0.68,0.68,0.68,0.68
HVT,0.2,0.2,0.2,0.15,0.2
HE,0.32,0.32,0.33,0.33,0.33
HA,0.12,0.12,0.12,#N/A,#N/A
HWKN,0.23,0.2325,0.2325,0.2325,0.2325
HAYN,0.22,0.22,0.22,0.22,0.22
HCA,0.4,0.4,0.43,0,0
HCI,0.4,0.4,0.4,0.4,0.4
HR,0.3,0.3,0.3,0.3,0.3
HCSG,0.19875,0.2,0.20125,0.2025,0.20375
HQY,0,0,0,0,
PEAK,0.37,0.37,0.37,0.37,0.37
HSTM,0,0,0,0,0
HTLD,0.02,0.02,0.02,0.02,0.02
HSII,0.15,0.15,0.15,0.15,0.15
HELE,0,0,0,0,
HLX,0,0,0,0,0
HP,0.71,0.71,0.71,0.25,0.25
HSIC,0,0,0,0,0
HFWA,0.19,0.19,0.2,0.2,0.2
MLHR,0.21,0.21,0,0,
HT,0.28,0.28,0.28,#N/A,#N/A
HSKA,0,0,0,0,0
HES,0.25,0.25,0.25,0.25,0.25
HPE,0.1125,0.12,0.12,0.12,
HXL,0.17,0.17,0.17,0,0
HIBB,0,0,0,0,
HIW,0.475,0.475,0.48,0.48,0.48
HI,0.21,0.2125,0.2125,0.2125,0.2125
HRC,0.21,0.21,0.22,0.22,0.22
HLT,0.15,0.15,0.15,#N/A,#N/A
HMSY,0,0,0,0,0
HNI,0.305,0.305,0.305,0.305,0.305
HFC,0.33,0.35,0.35,0.35,0.35
HOLX,0,0,0,0,0
HOMB,0.13,0.13,0.13,0.13,0.13
HMST,0,0,0.15,0.15,0.15
HON,0.82,0.9,0.9,0.9,0.9
HOPE,0.14,0.14,0.14,0.14,0.14
HMN,0.2875,0.2875,0.3,0.3,0.3
HRL,0.21,0.2325,0.2325,0.2325,
HST,0.2,0.2,0.2,0,0
HWM,0.02,0.02,#N/A,0,0
HPQ,0.1602,0.1762,0.1762,0.1762,
HUBG,0,0,0,0,0
HUBB,0.84,0.91,0.91,0.91,0.91
HPP,0.25,0.25,0.25,0.25,0.25
HUM,0.55,0.55,0.625,0.625,0.625
HBAN,0.15,0.15,0.15,0.15,0.15
HII,0.86,1.03,1.03,1.03,1.03
IAA,0,0,0,0,0
ICHR,0,0,0,0,0
ICUI,0,0,0,0,0
IDA,0.63,0.67,#N/A,0.67,0.67
IEX,0.5,0.5,0.5,0.5,0.5
IDXX,0,0,0,0,0
INFO,0,0.17,0.17,0.17,
IIVI,0,0,0,0,0
ITW,1.07,1.07,1.07,1.07,1.14
ILMN,0,0,0,0,0
INCY,0,0,0,0,0
IRT,0.18,0.18,0.18,0.12,0.12
