,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
PSMT,0,0.35,0,0.35,
PRI,0.34,0.34,0.4,0.4,0.4
PFG,0.55,0.55,0.56,0.56,0.56
PRA,0.31,0.31,0.31,0.05,0.05
PRG,0.035,0.04,0.04,0.04,0.04
PRGS,0.165,0.165,0.165,0.165,
PLD,0.53,0.53,0.58,0.58,0.58
PUMP,0,0,0,0,0
PB,0.41,0.46,0.46,0.46,0.46
PRLB,0,0,0,0,0
PFS,0.23,0.23,0.23,0.23,0.23
PRU,1,1,1.1,1.1,1.1
PSB,1.05,1.05,1.05,1.05,1.05
PTC,0,0,0,0,0
PEG,0.47,0.47,0.49,0.49,0.49
PSA,2,2,2,2,2
PHM,0.11,0.12,0.12,0.12,0.12
PVH,0.0375,0.0375,0.0375,#N/A,
QEP,0.02,0.02,0.02,#N/A,#N/A
QRVO,0,0,0,0,0
KWR,0.385,0.385,0.385,0.385,0.395
QCOM,0.62,0.62,0.62,0.65,0.65
QLYS,0,0,0,0,0
NX,0.08,0.08,0.08,0.08,
PWR,0.04,0.05,0.05,0.05,0.05
DGX,0.53,0.53,0.56,0.56,0.56
QDEL,0,0,0,0,0
QNST,0,0,0,0,0
RCM,0,0,0,0,0
RDNT,0,0,0,0,0
RL,0.6875,0.6875,0.6875,#N/A,#N/A
RMBS,0,0,0,0,0
RRC,0.02,0.02,#N/A,#N/A,#N/A
RAVN,0.13,0.13,0.13,0.13,
RJF,0.34,0.37,0.37,0.37,0.37
RYAM,0,0,0,0,0
RYN,0.27,0.27,0.27,0.27,0.27
RTX,0.735,0.735,0.735,0.475,0.475
RMAX,0.21,0.21,0.22,0.22,0.22
RC,0.4,0.4,0.4,0.25,0.3
RLGY,0.09,0,0,0,0
O,0.68,0.6815,0.698,0.6995,0.701
RRGB,0,0,0,0,0
RWT,0.3,0.3,0.32,0.125,0.14
RBC,0.3,0.3,0.3,0.3,0.3
REG,0.585,0.585,0.595,0.595,0.595
REGN,0,0,0,#N/A,#N/A
RGNX,0,0,0,0,0
RF,0.155,0.155,0.155,0.155,0.155
RGS,0,0,0,0,0
RGA,0.7,0.7,0.7,0.7,0.7
RS,0.55,0.55,0.625,0.625,0.625
RNR,0.34,0.34,0.35,0.35,0.35
RNST,0.22,0.22,0.22,0.22,0.22
REGI,0,0,0,0,0
RCII,0.25,0.29,0,0.29,0.29
RGEN,0,0,0,0,0
RSG,0.405,0.405,0.405,0.405,0.425
REZI,0,0,0,0,0
RMD,0.39,0.39,0.39,0.39,0.39
RGP,0.14,0.14,0.14,0.14,
ROIC,0.197,0.197,0.2,0,0
RPAI,0.165625,0.165625,0.165625,0,0.05
REX,0,0,0,0,
REXR,0.185,0.185,0.215,0.215,0.215
RH,0,0,0,0,
RLI,0.23,0.23,0.23,0.24,0.24
RHI,0.31,0.31,0.34,0.34,0.34
ROK,0.97,1.02,1.02,1.02,1.02
ROG,0,0,0,0,0
ROL,0.105,0.105,0.12,0.08,0.08
ROP,0.4625,0.5125,0.5125,0.5125,0.5125
ROST,0.255,0.255,0.285,#N/A,
RCL,0.78,0.78,0.78,0,0
RGLD,0.265,0.28,0.28,0.28,0.28
RES,0,0,0,0,0
RPM,0.36,0.36,0.36,0.36,
RPT,0.22,0.22,0.22,0,0
RUTH,0.13,0.13,0.15,#N/A,#N/A
R,0.56,0.56,0.56,0.56,0.56
SPGI,0.57,0.57,0.67,0.67,0.67
