Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
WM,115,113.96,92.56,105.91,113.17
WAT,223.23,233.65,182.05,180.4,195.68
WEC,95.1,92.23,88.13,87.65,96.9
WFC,50.44,53.8,28.7,25.6,23.51
WELL,90.65,81.78,45.78,51.75,55.09
WST,141.82,150.33,152.25,227.17,274.9
WDC,59.64,63.47,41.62,44.15,36.55
WU,23.17,26.78,18.13,21.62,21.43
WRK,36.45,42.91,28.26,28.26,34.74
WY,27.7,30.2,16.95,22.46,28.52
WHR,158.36,147.53,85.8,129.53,183.89
WMB,24.06,23.72,14.15,19.02,19.65
WLTW,192.97,201.94,169.85,196.95,208.82
WYNN,108.72,138.87,60.19,74.49,71.81
XEL,64.89,63.49,60.3,62.5,69.01
XRX,29.91,36.87,18.94,15.29,18.77
XLNX,95.9,97.77,77.94,98.39,104.24
XYL,79.62,78.79,65.13,64.96,84.12
YUM,113.43,100.73,68.53,86.91,91.3
ZBRA,206.37,255.44,183.6,255.95,252.46
ZBH,137.27,149.68,101.08,119.36,136.14
ZION,44.52,51.92,26.76,34,29.22
ZTS,124.59,132.35,117.69,137.04,165.37
